"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-01",,"10.8",,"2.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-02",,"13.7",,"4.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-03",,"14.4","23.0","7.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-04",,"13.6","23.5","8.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-05",,"14.2","21.6","7.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-06",,"15.2","21.2","9.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-07","0.0","15.0","19.1","11.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-08","6.1","13.2","19.0",
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-09","10.9","10.4",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-10","0.0","10.7",,"5.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-11",,"12.0","19.9","5.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-12",,"13.6",,"7.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-13",,"14.2","23.4","8.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-14",,"12.6","19.9",
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-15",,"13.7",,"6.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-16","0.0","13.2","19.9","9.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-17","6.1","13.2",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-18","0.0","12.3","17.7","8.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-19",,"11.0","17.7","7.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-20",,"11.9","16.7","8.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-21",,"13.6",,"9.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-22",,"12.7","20.2","7.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-23",,"14.1",,"9.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-24",,"13.2",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-25",,"11.6","21.1","4.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-26",,"14.7",,"6.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-27",,"15.5","22.7","8.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-28","6.1","16.0","23.0","10.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-29","7.9","14.5","22.2","10.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-30","0.0","13.6","20.6","8.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-01-31",,"12.9","20.2","7.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-01",,"12.3","19.7","5.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-02",,"12.1","19.9","6.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-03",,"12.9",,"5.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-04",,"14.2","22.0","5.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-05",,"13.6","22.7","6.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-06",,"12.5","21.3","6.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-07",,"12.7","20.4","6.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-08",,"13.7",,"7.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-09",,"13.9",,"6.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-10",,"13.3","22.9","6.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-11",,"14.2",,"5.9"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-12",,"17.3",,"8.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-13",,"20.0",,"12.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-14",,"18.8","27.8","13.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-15",,"18.2","25.4","11.5"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-16",,"17.2",,"9.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-17",,"17.7","27.1","9.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-18",,"17.2","26.7","10.2"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-19",,"19.1","26.9","8.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-20",,"21.8",,"13.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-21","2.0","16.8","27.5",
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-22","0.0","18.6",,"13.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-23",,"19.8",,"12.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-24",,"19.4","26.8","11.8"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-25",,"19.3","26.4","13.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-26",,"20.3",,"12.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-27",,"20.7","27.4","13.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-28",,"21.2","27.5","16.7"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-02-29",,"19.4",,
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-01",,"21.9",,"14.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-02",,"21.2",,"14.6"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-03",,"21.1",,"14.3"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-04",,"20.9","29.0","14.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-05","0.5","19.9","29.2","14.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-06","20.1","16.3","27.0","14.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-07","20.1","17.3","22.4","13.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-08","99.1","18.0",,"11.1"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-09","0.0","18.3",,"12.4"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-10",,"19.6",,"10.0"
"IN022021900","NEW DELHI SAFDARJUN, IN","2020-03-11","1.0","21.6",,"14.8"
